temp,tempmax,precip,Conditions,label
87,100,0.0, ,Hot
88,101,0.0, ,Hot
83,92,0.06,"Rain , Thunderstorm",Hot
84,95,0.31,"Rain , Thunderstorm",Wet
82,89,3.53,"Fog , Rain , Thunderstorm",Wet
75,78,1.52,"Rain , Thunderstorm",Wet
78,86,0.0, ,Mild
84,94,0.0, ,Hot
87,96,0.0, ,Hot
86,96,0.0, ,Hot
86,97,0.0, ,Hot
84,94,0.09,Rain,Hot
86,96,0.0, ,Hot
87,98,0.0, ,Hot
87,98,0.0, ,Hot
87,99,0.0, ,Hot
87,97,0.0, ,Hot
86,96,0.0, ,Hot
87,97,0.0, ,Hot
82,91,0.0, ,Hot
79,90,0.0, ,Mild
83,94,0.0, ,Hot
83,94,0.0, ,Hot
85,97,0.0, ,Hot
88,99,0.0, ,Hot
90,102,0.0, ,Hot
89,102,0.0, ,Hot
89,100,0.0, ,Hot
89,101,0.0, ,Hot
89,102,0.05,"Rain , Thunderstorm",Hot
87,100,0.0, ,Hot
83,97,0.0, ,Hot
84,98,0.0, ,Hot
88,101,0.0, ,Hot
91,104,0.0, ,Hot
90,101,0.0, ,Hot
90,102,0.0, ,Hot
87,96,0.0,Thunderstorm,Hot
90,102,0.0, ,Hot
92,103,0.0, ,Hot
91,103,0.0, ,Hot
88,101,0.0, ,Hot
89,101,0.0, ,Hot
89,101,0.0, ,Hot
89,101,0.0,"Rain , Thunderstorm",Hot
87,98,0.0, ,Hot
88,99,0.0, ,Hot
87,96,0.07,"Rain , Thunderstorm",Hot
85,95,0.0, ,Hot
87,99,0.0, ,Hot
90,101,0.0, ,Hot
88,98,0.01, ,Hot
88,100,0.0, ,Hot
86,99,0.98,"Fog , Rain , Thunderstorm",Wet
87,97,0.02,Rain,Hot
86,97,0.19,"Rain , Thunderstorm",Wet
82,89,0.22,"Rain , Thunderstorm",Wet
84,96,0.0, ,Hot
86,97,0.0, ,Hot
88,99,0.0, ,Hot
89,99,0.0, ,Hot
81,96,0.51,"Rain , Thunderstorm",Wet
63,66,0.68,Rain,Wet
71,77,0.0, ,Mild
79,88,0.0, ,Mild
84,94,0.02,"Rain , Thunderstorm",Hot
83,91,0.35,"Rain , Thunderstorm",Wet
81,90,3.66,"Fog , Rain , Thunderstorm",Wet
80,86,0.13,Rain,Wet
82,90,0.21,Rain,Wet
81,90,0.0, ,Hot
81,91,0.0, ,Hot
76,85,0.0, ,Mild
72,84,0.0, ,Mild
73,83,0.0, ,Mild
76,85,0.0, ,Mild
74,80,0.0,Rain,Mild
77,88,0.0, ,Mild
78,89,0.0, ,Mild
78,90,0.0, ,Mild
84,92,0.0, ,Hot
84,92,0.03,"Rain , Thunderstorm",Hot
75,85,0.0,Thunderstorm,Mild
70,80,0.0, ,Mild
75,87,0.0, ,Mild
81,89,0.0, ,Hot
83,94,0.0, ,Hot
82,90,0.0, ,Hot
84,92,0.0,Rain,Hot
84,92,0.0, ,Hot
69,78,1.42,"Fog , Rain",Wet
69,77,0.01,"Rain , Thunderstorm",Mild
69,76,0.09,"Rain , Thunderstorm",Mild
66,80,0.0, ,Mild
72,88,0.0, ,Mild
72,86,0.0, ,Mild
74,87,0.0, ,Mild
76,86,0.0, ,Mild
74,82,0.0, ,Mild
73,82,0.0, ,Mild
71,83,0.0, ,Mild
72,83,0.0,Rain,Mild
75,83,0.0,Rain,Mild
73,85,0.0, ,Mild
75,88,0.0, ,Mild
74,86,0.0, ,Mild
74,86,0.0, ,Mild
75,84,0.0, ,Mild
73,81,0.0, ,Mild
73,82,0.0,Rain,Mild
66,76,0.3,Rain,Wet
58,68,0.0, ,Mild
62,75,0.0, ,Mild
68,76,0.0, ,Mild
67,75,0.56,Rain,Wet
57,59,1.51,Rain,Wet
59,63,0.04,Rain,Mild
60,71,0.0, ,Mild
62,75,0.0, ,Mild
61,74,0.0, ,Mild
63,76,0.0, ,Mild
54,65,0.0, ,Mild
44,51,0.0, ,Mild
36,41,0.0, ,Mild
38,45,0.0, ,Mild
44,48,0.02,Rain,Mild
42,50,0.01,"Fog , Rain",Mild
42,53,0.0, ,Mild
43,56,0.0, ,Mild
51,69,0.0, ,Mild
57,70,0.01,"Fog , Rain",Mild
68,74,0.33,"Fog , Rain",Wet
63,67,3.33,"Fog , Rain , Thunderstorm",Wet
67,81,0.0, ,Mild
53,66,0.0, ,Mild
53,67,0.0, ,Mild
60,77,0.0, ,Mild
53,64,0.0, ,Mild
57,72,0.0, ,Mild
65,73,0.0, ,Mild
72,79,0.0, ,Mild
54,66,0.0, ,Mild
45,50,0.0, ,Mild
54,59,0.0, ,Mild
62,66,0.06,Rain,Mild
69,75,0.01,Rain,Mild
62,69,0.0, ,Mild
54,56,0.0, ,Mild
58,67,0.0, ,Mild
56,69,0.0, ,Mild
57,66,0.02,Rain,Mild
62,67,0.04,Rain,Mild
65,71,0.0,Rain,Mild
65,74,0.0, ,Mild
68,74,0.07,Rain,Mild
63,74,0.0, ,Mild
55,63,0.0, ,Mild
51,53,0.1,"Rain , Thunderstorm",Mild
55,60,0.0, ,Mild
53,57,0.59,"Rain , Thunderstorm",Wet
52,54,0.0, ,Mild
53,56,0.0, ,Mild
67,77,0.0, ,Mild
51,59,0.0,Rain,Mild
46,57,0.0, ,Mild
49,65,0.0, ,Mild
64,74,0.01,Rain,Mild
54,66,0.03,Rain,Mild
40,47,0.13,Rain,Wet
49,67,0.0, ,Mild
43,46,0.0,Fog,Mild
39,42,0.0, ,Mild
37,40,0.63,"Rain , Thunderstorm",Wet
41,43,0.2,"Rain , Thunderstorm",Wet
51,62,0.76,"Rain , Thunderstorm",Wet
43,51,0.0, ,Mild
41,52,0.0, ,Mild
54,71,0.0, ,Mild
41,51,0.0, ,Mild
30,36,0.0,Rain,Mild
36,38,0.02,Rain,Mild
34,36,0.3,"Rain , Thunderstorm",Wet
42,49,0.17,Rain,Wet
43,46,0.0,Fog,Mild
39,42,0.0, ,Mild
39,40,0.0, ,Mild
49,59,0.0, ,Mild
51,64,0.0, ,Mild
54,69,0.0, ,Mild
59,72,0.0, ,Mild
56,75,0.0, ,Mild
61,80,0.0, ,Mild
53,56,0.16,Rain,Wet
47,52,2.07,Rain,Wet
45,51,0.4,Rain,Wet
50,63,0.0, ,Mild
57,73,0.0, ,Mild
60,74,0.0, ,Mild
67,83,0.0, ,Mild
62,81,0.0, ,Mild
66,79,0.0, ,Mild
53,58,0.0,Rain,Mild
56,62,0.31,Rain,Wet
59,73,0.02,Rain,Mild
41,49,0.0, ,Mild
42,43,0.26,Rain,Wet
49,55,0.06,Rain,Mild
45,52,0.0, ,Mild
49,60,0.0, ,Mild
55,69,0.0, ,Mild
68,78,0.0, ,Mild
68,83,0.0, ,Mild
64,81,0.0, ,Mild
65,78,0.0, ,Mild
53,62,0.0, ,Mild
55,70,0.0, ,Mild
63,78,0.0, ,Mild
63,68,0.0, ,Mild
51,66,0.01,Rain,Mild
45,55,0.0, ,Mild
49,66,0.0, ,Mild
54,70,0.0, ,Mild
65,75,0.0, ,Mild
67,78,0.0, ,Mild
47,56,0.02,Rain,Mild
34,37,0.01,Rain,Mild
34,37,0.0, ,Mild
49,63,0.01,Rain,Mild
43,52,0.0, ,Mild
34,36,0.01,Rain,Mild
34,36,0.1,Rain,Mild
39,43,0.09,Rain,Mild
42,45,0.02,Rain,Mild
52,63,0.01,"Fog , Rain",Mild
52,70,0.15,"Fog , Rain , Thunderstorm",Wet
39,47,0.13,"Rain , Thunderstorm",Wet
42,57,0.0, ,Mild
49,60,0.0, ,Mild
51,54,0.45,Rain,Wet
52,55,2.17,Rain,Wet
57,63,0.0, ,Mild
57,59,0.0, ,Mild
63,73,0.02,Rain,Mild
66,78,0.0, ,Mild
66,78,0.0, ,Mild
60,69,0.0, ,Mild
65,77,0.0, ,Mild
70,77,0.01,Rain,Mild
71,81,0.13,Rain,Wet
73,83,0.0, ,Mild
64,71,1.17,"Fog , Rain",Wet
58,61,0.43,Rain,Wet
68,78,0.0, ,Mild
66,80,0.0, ,Mild
71,83,0.0, ,Mild
73,84,0.0, ,Mild
62,70,0.05,Rain,Mild
64,82,0.0, ,Mild
66,84,0.0, ,Mild
71,84,0.0, ,Mild
72,80,0.0, ,Mild
74,82,0.0, ,Mild
76,83,0.0,Rain,Mild
76,84,0.0, ,Mild
76,86,0.0, ,Mild
63,69,0.0, ,Mild
64,69,0.02,Rain,Mild
75,85,0.0, ,Mild
78,87,0.0, ,Mild
74,79,0.0, ,Mild
79,87,0.0, ,Mild
65,74,0.09,"Rain , Thunderstorm",Mild
65,70,0.0,Rain,Mild
75,82,0.01,Fog,Mild
76,87,0.09,"Rain , Thunderstorm",Mild
67,77,0.0, ,Mild
69,83,0.0, ,Mild
74,81,0.01,"Rain , Thunderstorm",Mild
71,75,0.41,"Rain , Thunderstorm",Wet
66,77,0.57,"Fog , Rain , Thunderstorm",Wet
73,89,0.0,"Fog , Thunderstorm",Mild
64,73,0.0, ,Mild
66,81,0.0, ,Mild
74,81,0.0, ,Mild
77,85,0.0, ,Mild
77,85,0.43,"Rain , Thunderstorm",Wet
82,93,0.04,Thunderstorm,Hot
78,86,0.08,"Rain , Thunderstorm",Mild
74,85,0.56,"Rain , Thunderstorm",Wet
59,65,0.0, ,Mild
63,77,0.0, ,Mild
67,83,0.0, ,Mild
70,84,0.0, ,Mild
71,83,0.0, ,Mild
71,84,0.0, ,Mild
75,84,0.0, ,Mild
75,83,3.84,"Fog , Rain , Thunderstorm",Wet
79,87,0.01,Rain,Mild
78,83,0.02,Rain,Mild
76,79,0.29,"Rain , Thunderstorm",Wet
79,85,0.02,"Rain , Thunderstorm",Mild
82,87,0.0, ,Hot
74,79,0.4,"Rain , Thunderstorm",Wet
67,69,0.23,Rain,Wet
67,70,1.12,"Fog , Rain , Thunderstorm",Wet
78,87,0.08,Rain,Mild
72,77,0.36,"Rain , Thunderstorm",Wet
77,87,0.0, ,Mild
75,84,2.6,"Rain , Thunderstorm",Wet
81,88,0.0,Rain,Hot
82,89,0.0,Rain,Hot
81,89,0.33,"Rain , Thunderstorm",Wet
69,76,0.02,"Rain , Thunderstorm",Mild
70,77,0.03,Rain,Mild
77,87,1.41,"Fog , Rain , Thunderstorm",Wet
73,82,0.76,Rain,Wet
74,82,5.2,"Fog , Rain , Thunderstorm",Wet
78,89,0.0,Thunderstorm,Mild
76,85,0.0,"Rain , Thunderstorm",Mild
78,87,0.2,"Rain , Thunderstorm",Wet
77,89,0.67,"Rain , Thunderstorm",Wet
79,88,0.0,"Rain , Thunderstorm",Mild
77,86,0.0, ,Mild
76,88,0.0, ,Mild
79,90,0.0, ,Mild
78,89,0.0, ,Mild
78,88,0.0, ,Mild
80,90,0.0, ,Hot
80,90,0.0, ,Hot
81,91,0.0, ,Hot
82,93,0.0, ,Hot
84,95,0.0, ,Hot
83,93,0.0, ,Hot
84,94,0.0, ,Hot
84,93,0.01, ,Hot
85,95,0.0, ,Hot
79,86,1.34,"Fog , Rain , Thunderstorm",Wet
